id_tran;cpf;estabelecimento;valor;status;data;
4137;902446808;cacau show;71;aprovada;Feb-20;
244;264999401;cacau show;488;aprovada;Apr-20;
1815;59310922;cacau show;427;aprovada;May-20;
2142;178025312;cacau show;151;aprovada;Apr-20;
555;693023755;cacau show;670;aprovada;Mar-20;
4091;589663115;cacau show;304;aprovada;May-20;
1658;145484666;cacau show;8;aprovada;May-20;
3678;852250519;cacau show;496;aprovada;Mar-20;
1737;870502297;cacau show;122;aprovada;Feb-20;
4468;499650175;cacau show;793;aprovada;Feb-20;
598;704224114;cacau show;745;aprovada;Feb-20;
2270;581197349;cacau show;293;aprovada;Feb-20;
557;793059892;cacau show;677;aprovada;Apr-20;
4792;517622268;cacau show;236;aprovada;Apr-20;
3575;378523306;cacau show;55;aprovada;Mar-20;
5006;414765037;cacau show;748;aprovada;Jan-20;
3394;405964521;cacau show;201;aprovada;Feb-20;
2452;602625546;cacau show;761;aprovada;Jan-20;
2826;593069064;cacau show;406;aprovada;Apr-20;
3505;757772890;cacau show;695;aprovada;Feb-20;
3758;672912917;cacau show;696;aprovada;Apr-20;
1704;902170856;cacau show;603;aprovada;Apr-20;
717;724614643;cacau show;477;aprovada;Mar-20;
4638;841987340;cacau show;319;aprovada;Mar-20;
3022;594963489;cacau show;196;aprovada;Jan-20;
4880;893644632;cacau show;545;aprovada;May-20;
4191;177210864;cacau show;639;aprovada;Mar-20;
3597;660429307;cacau show;265;aprovada;Mar-20;
1935;244395333;cacau show;609;aprovada;May-20;
1954;823555140;cacau show;678;aprovada;May-20;
5120;926786046;cacau show;106;aprovada;Jan-20;
3863;95783716;cacau show;300;aprovada;Feb-20;
568;728050864;cacau show;584;aprovada;Feb-20;
1835;944042348;cacau show;51;aprovada;Mar-20;
3340;983012458;cacau show;322;aprovada;May-20;
2640;54670608;cacau show;358;aprovada;Jan-20;
258;377415490;cacau show;104;aprovada;Jan-20;
3054;721700668;cacau show;305;aprovada;Mar-20;
2665;228322108;cacau show;305;aprovada;Mar-20;
1083;405964521;cacau show;458;aprovada;Apr-20;
809;7471498;cacau show;33;aprovada;Feb-20;
2044;686809896;cacau show;280;aprovada;May-20;
4202;944042348;cacau show;747;negada;Apr-20;
3221;224928538;cacau show;644;aprovada;Mar-20;
146;628252167;cacau show;787;aprovada;Mar-20;
2292;19537168;cacau show;357;aprovada;Feb-20;
2291;288621101;cacau show;493;aprovada;May-20;
1278;237090226;cacau show;789;aprovada;May-20;
1051;371232534;cacau show;674;aprovada;Apr-20;
2193;264498302;cacau show;458;aprovada;May-20;
2247;199104301;cacau show;84;aprovada;Apr-20;
4477;143984536;cacau show;70;aprovada;Mar-20;
959;240398183;cacau show;676;aprovada;May-20;
306;558754132;cacau show;574;aprovada;Feb-20;
2711;943030384;cacau show;165;aprovada;Feb-20;
1708;454109539;cacau show;531;aprovada;Apr-20;
189;338048902;cacau show;419;aprovada;Jan-20;
752;207160816;cacau show;781;aprovada;May-20;
953;459112867;cacau show;406;aprovada;Apr-20;
3908;584974403;cacau show;164;aprovada;Mar-20;
3738;798551780;cacau show;206;aprovada;Jan-20;
5225;949709565;cacau show;660;aprovada;Feb-20;
2984;867940024;cacau show;567;aprovada;May-20;
482;673819356;cacau show;781;aprovada;May-20;
4740;89559304;cacau show;89;aprovada;Apr-20;
881;429476467;cacau show;239;aprovada;Mar-20;
3872;851831580;cacau show;642;aprovada;Mar-20;
644;832065117;cacau show;279;aprovada;Jan-20;
3835;572080157;cacau show;631;aprovada;Feb-20;
2773;476469328;cacau show;656;aprovada;Feb-20;
